,取引価格（総額）_log
0,7.043894575340697
1,6.892399171373417
2,7.143407939406259
3,7.411894057637165
4,6.482366561317833
5,7.593132130110106
6,6.986071024400808
7,6.479605600864298
8,7.023155321854434
9,6.499268869911404
10,7.194661113300374
11,6.477232860753113
12,7.646024344136626
13,7.05469019258447
14,6.555619591520638
15,7.094050380705925
16,7.569900602029442
17,7.742787170352007
18,7.6393539982649825
19,7.304495922504173
20,7.580800114750166
21,7.302412738493755
22,7.6406424138632065
23,7.3427837338354625
24,7.366326557694629
25,7.660044483216399
26,7.526814139737939
27,7.094156603832633
28,7.473379308798614
29,7.3758188688472295
30,7.5483017022674685
31,7.444580245131806
32,7.2485602097355395
33,7.595745339101213
34,7.480632352609222
35,7.6498701844516654
36,7.442437464455219
37,7.044673901435273
38,7.498606711805022
39,7.390283587913665
40,7.617660534909653
41,6.567112683991004
42,6.703898265052459
43,7.610900230480329
44,6.993288430361655
45,6.9171420832032195
46,7.229942238162552
47,7.680179280295006
48,6.675158354204298
49,7.367632996403787
50,7.506863858731549
51,7.5268193490733735
52,7.674196264368068
53,7.551566081300219
54,6.742227000832598
55,6.947415491577802
56,6.511111196718415
57,6.464501819541926
58,7.37610173627265
59,7.54651329430154
60,6.932467545688383
61,7.274858416331744
62,7.156012547085147
63,7.227994983108075
64,7.516071984198218
65,7.460482031049661
66,7.236762663986723
67,7.338675614258123
68,7.356586291020157
69,7.3928169862411925
70,7.488092787308064
71,6.795736693946893
72,6.416691035847835
73,7.453350459688518
74,7.732579677908409
75,7.48640785186008
76,6.386404962389347
77,6.383485762929277
78,6.515302416963614
79,7.505287003173804
80,7.800928321111731
81,7.516195025820742
82,6.946514376506994
83,6.459178476160017
84,7.521587369390374
85,7.509956723851724
86,6.905428628280317
87,6.56264716336447
88,6.972815664860441
89,7.445205881968924
90,6.606232451275863
91,6.606232451275863
92,6.606232451275863
93,6.76723807912411
94,7.202635568515506
95,7.036212686667646
96,7.627184417960311
97,7.293035239223768
98,6.55407244329837
99,7.474351413790002
100,6.7843064932552455
101,7.432447798158871
102,7.512876684119406
103,7.438090628904895
104,7.287091971630127
105,6.972154521350181
106,6.088837342330982
107,6.649877297105746
108,7.010308139018846
109,7.150736450324962
110,7.407712478968886
111,7.417894590845356
112,7.212228820870284
113,7.568041461891395
114,7.338546169715461
115,6.491179050699925
116,6.743506075230917
117,6.524487780790503
118,7.270434952387946
119,7.435489626300331
120,7.467710124270064
121,7.564975443818089
122,6.4366621886112485
123,6.3477114764688265
124,6.364708744266905
125,6.4366621886112485
126,6.4366621886112485
127,6.4366621886112485
128,6.321397029518491
