iter	Passed	Remaining
0	70	69990
1	134	67358
2	198	65925
3	258	64465
4	329	65583
5	390	64666
6	449	63833
7	509	63186
8	568	62583
9	625	61928
10	681	61297
11	739	60847
12	798	60628
13	855	60261
14	920	60420
15	984	60520
16	1049	60678
17	1111	60631
18	1166	60226
19	1225	60043
20	1287	60035
21	1348	59957
22	1410	59927
23	1470	59793
24	1529	59655
25	1588	59502
26	1646	59339
27	1705	59214
28	1774	59422
29	1835	59359
30	1897	59308
31	1960	59307
32	2021	59237
33	2082	59156
34	2135	58882
35	2195	58783
36	2256	58729
37	2313	58572
38	2375	58546
39	2437	58501
40	2499	58474
41	2565	58516
42	2624	58406
43	2685	58340
44	2746	58280
45	2802	58112
46	2859	57988
47	2914	57814
48	2976	57772
49	3030	57586
50	3092	57540
51	3150	57439
52	3212	57392
53	3270	57301
54	3327	57173
55	3383	57030
56	3442	56959
57	3502	56885
58	3558	56752
59	3620	56726
60	3682	56693
61	3743	56635
62	3803	56569
63	3865	56537
64	3935	56603
65	3997	56567
66	4053	56441
67	4112	56369
68	4179	56392
69	4236	56284
70	4299	56261
71	4355	56135
72	4417	56091
73	4472	55967
74	4534	55922
75	4589	55798
76	4649	55737
77	4704	55615
78	4763	55528
79	4818	55407
80	4874	55304
81	4937	55280
82	4996	55207
83	5055	55123
84	5114	55058
85	5172	54972
86	5236	54948
87	5295	54877
88	5355	54818
89	5407	54673
90	5470	54640
91	5524	54528
92	5583	54449
93	5644	54399
94	5698	54287
95	5760	54244
96	5821	54194
97	5879	54111
98	5937	54039
99	5998	53990
100	6064	53983
101	6126	53939
102	6185	53865
103	6245	53805
104	6307	53766
105	6370	53732
106	6431	53672
107	6487	53584
108	6550	53546
109	6607	53459
110	6660	53343
111	6723	53306
112	6785	53261
113	6842	53178
114	6897	53084
115	6954	52994
116	7014	52939
117	7071	52857
118	7134	52820
119	7196	52774
120	7259	52734
121	7322	52696
122	7379	52614
123	7439	52554
124	7504	52531
125	7568	52499
126	7635	52485
127	7699	52451
128	7765	52431
129	7829	52396
130	7891	52346
131	7950	52277
132	8012	52230
133	8079	52213
134	8140	52157
135	8195	52067
136	8260	52034
137	8329	52030
138	8391	51977
139	8461	51976
140	8523	51926
141	8579	51839
142	8639	51778
143	8708	51766
144	8768	51703
145	8833	51669
146	8898	51636
147	8961	51586
148	9023	51536
149	9079	51453
150	9146	51426
151	9214	51407
152	9274	51344
153	9333	51273
154	9389	51186
155	9448	51117
156	9505	51039
157	9564	50969
158	9632	50950
159	9695	50902
160	9752	50824
161	9811	50752
162	9879	50728
163	9939	50667
164	10001	50612
165	10061	50549
166	10124	50503
167	10187	50451
168	10252	50415
169	10313	50353
170	10371	50281
171	10433	50226
172	10492	50159
173	10545	50062
174	10599	49969
175	10660	49909
176	10718	49838
177	10781	49789
178	10840	49721
179	10899	49654
180	10959	49589
181	11020	49531
182	11074	49443
183	11134	49379
184	11193	49311
185	11251	49240
186	11307	49158
187	11367	49099
188	11435	49071
189	11499	49025
190	11557	48954
191	11616	48887
192	11670	48797
193	11729	48732
194	11791	48678
195	11851	48616
196	11910	48549
197	11966	48470
198	12027	48412
199	12091	48366
200	12153	48312
201	12212	48244
202	12277	48200
203	12335	48133
204	12392	48057
205	12456	48010
206	12516	47950
207	12581	47905
208	12640	47841
209	12702	47786
210	12767	47742
211	12834	47705
212	12897	47653
213	12956	47589
214	13017	47530
215	13078	47471
216	13140	47414
217	13200	47352
218	13260	47290
219	13323	47239
220	13380	47164
221	13440	47101
222	13502	47046
223	13564	46990
224	13631	46954
225	13699	46917
226	13760	46856
