場所,緯度,経度
北海道苫小牧市,42.631246,141.603122
北海道札幌市中央区,43.046848,141.322114
北海道帯広市,42.923335,143.197199
北海道札幌市豊平区,43.030834,141.386448
北海道函館市,41.768696,140.72906
北海道札幌市北区,43.144873,141.358562
北海道札幌市手稲区,43.110364,141.220008
北海道札幌市西区,43.06282,141.257723
北海道旭川市,43.770883,142.365008
北海道小樽市,43.190237,140.994172
北海道釧路市,42.984941,144.381804
北海道札幌市東区,43.119381,141.39938
北海道江別市,43.103767,141.536241
北海道札幌市厚別区,43.046262,141.477586
北海道札幌市南区,42.953919,141.219999
北海道札幌市清田区,42.961232,141.420662
北海道札幌市白石区,43.062351,141.413278
北海道北見市,43.803976,143.895784
青森県青森市,40.82222,140.747352
青森県弘前市,40.603063,140.464054
青森県八戸市,40.512206,141.488274
岩手県盛岡市,39.701956,141.15433
岩手県花巻市,39.388625,141.1169
岩手県一関市,38.934703,141.126876
岩手県奥州市,39.144411,141.139215
宮城県仙台市青葉区,38.326777,140.677942
宮城県仙台市泉区,38.338226,140.799211
宮城県仙台市宮城野区,38.278938,140.950857
宮城県仙台市若林区,38.220912,140.942987
宮城県石巻市,38.434332,141.302868
宮城県仙台市太白区,38.258965,140.669169
宮城県大崎市,38.577085,140.955631
宮城県多賀城市,38.29385,141.004438
宮城県宮城郡七ヶ浜町,38.304499,141.059081
宮城県塩竈市,38.31437,141.022061
宮城県岩沼市,38.104311,140.870199
宮城県刈田郡蔵王町,38.098066,140.658777
宮城県宮城郡松島町,38.380191,141.067293
宮城県名取市,38.171544,140.891982
秋田県秋田市,39.719967,140.10348
秋田県横手市,39.313828,140.566588
山形県山形市,38.255415,140.339618
山形県酒田市,38.914781,139.836644
山形県鶴岡市,38.727197,139.826742
福島県郡山市,37.400478,140.359682
福島県いわき市,37.050506,140.887744
福島県福島市,37.760799,140.474786
福島県会津若松市,37.489983,139.927749
茨城県水戸市,36.365876,140.471372
茨城県つくば市,36.083526,140.076445
茨城県龍ケ崎市,35.911611,140.182326
茨城県牛久市,35.979396,140.14955
茨城県取手市,35.911422,140.050353
茨城県ひたちなか市,36.396651,140.534793
茨城県土浦市,36.078318,140.204246
茨城県つくばみらい市,35.963238,140.036385
茨城県守谷市,35.951533,139.975572
茨城県古河市,36.178795,139.755735
茨城県日立市,36.599127,140.650471
茨城県筑西市,36.305234,139.979427
栃木県宇都宮市,36.555075,139.882621
栃木県小山市,36.314665,139.800149
栃木県那須塩原市,36.961686,140.046073
栃木県足利市,36.340187,139.44976
栃木県佐野市,36.314391,139.578392
栃木県鹿沼市,36.56697,139.745068
栃木県栃木市,36.382377,139.73414
群馬県高崎市,36.322069,139.003358
群馬県前橋市,36.389467,139.063413
群馬県伊勢崎市,36.311835,139.196544
群馬県太田市,36.290937,139.376043
群馬県桐生市,36.405358,139.330414
埼玉県さいたま市浦和区,35.875254,139.655412
埼玉県さいたま市南区,35.842749,139.665617
埼玉県志木市,35.836195,139.580058
埼玉県戸田市,35.817585,139.677779
埼玉県草加市,35.825408,139.805378
埼玉県越谷市,35.889699,139.791486
埼玉県さいたま市緑区,35.880964,139.680928
埼玉県さいたま市桜区,35.863818,139.604414
埼玉県入間市,35.8358,139.391079
埼玉県蕨市,35.825592,139.679757
埼玉県さいたま市北区,35.941106,139.61461
埼玉県熊谷市,36.147196,139.38898
埼玉県久喜市,36.062029,139.666777
埼玉県川口市,35.807736,139.724187
埼玉県さいたま市中央区,35.881205,139.624808
埼玉県朝霞市,35.79717,139.593641
埼玉県新座市,35.793153,139.56573
埼玉県川越市,35.925134,139.485804
埼玉県さいたま市大宮区,35.908649,139.624808
埼玉県上尾市,35.977447,139.59318
埼玉県狭山市,35.852839,139.412183
埼玉県鶴ケ島市,35.934505,139.393127
埼玉県入間郡三芳町,35.828386,139.526475
埼玉県さいたま市岩槻区,35.944104,139.701349
埼玉県春日部市,35.975262,139.752313
埼玉県富士見市,35.856857,139.547966
埼玉県所沢市,35.799423,139.468711
埼玉県さいたま市見沼区,35.927638,139.660515
埼玉県三郷市,35.830226,139.872331
埼玉県深谷市,36.197482,139.281448
埼玉県ふじみ野市,35.879352,139.519617
埼玉県鴻巣市,36.06591,139.52217
埼玉県吉川市,35.896147,139.855555
埼玉県東松山市,36.042208,139.399972
埼玉県桶川市,36.005766,139.542583
埼玉県白岡市,36.019114,139.676853
埼玉県北本市,36.026803,139.530199
埼玉県和光市,35.781333,139.605806
埼玉県坂戸市,35.957357,139.40314
埼玉県八潮市,35.822679,139.839239
埼玉県飯能市,35.855103,139.328608
埼玉県蓮田市,35.994368,139.662176
埼玉県南埼玉郡宮代町,36.022654,139.722984
埼玉県加須市,36.131388,139.601771
埼玉県幸手市,36.078098,139.725881
埼玉県行田市,36.13905,139.455933
埼玉県さいたま市西区,35.912964,139.578932
埼玉県北葛飾郡杉戸町,36.025851,139.736743
